2018-02-01 14:56:13	remco	http://localhost:8888/bannertool/new10/q2/think/clear/	Error: 	Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) (line 28 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 14:56:29	remco	http://localhost:8888/bannertool/new10/q2/think/clear/	Error: 	Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) (line 28 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 14:57:23	remco	http://localhost:8888/bannertool/new10/q2/think/clear/	Error: 	Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 15:01:09	remco	http://localhost:8888/bannertool/new10/q2/think/clear/	Error: 	Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-05 16:03:36	remco	http://localhost:8888/bannertool/new10/q2/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 9 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/campaign-page.php)
2018-02-06 13:29:48	remco	http://localhost:8888/bannertool/new10/	Parse Error: 	syntax error, unexpected ';' (line 34 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-06 13:37:03	remco	http://localhost:8888/bannertool/new10/	Parse Error: 	syntax error, unexpected end of file (line 110 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-06 14:44:55	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected '$image' (T_VARIABLE) (line 52 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-klant-b-page.php)
2018-02-06 15:54:05	remco	http://localhost:8888/bannertool/klant-b/campagne-c/see/iab-repeater-set/	Parse Error: 	syntax error, unexpected '}' (line 18 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-repeater.php)
2018-02-06 16:45:41	remco	http://localhost:8888/bannertool/klant-b/campagne-b/see/	Error: 	Call to a member function size() on null (line 13 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-06 17:19:22	remco	http://localhost:8888/bannertool/klant-b/campagne-c/think/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 64 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-10 18:23:04	remco	http://localhost:8888/bannertool/new10/	Error: 	Call to a member function date() on null (line 33 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-11 09:02:25	remco	http://localhost:8888/bannertool/new10/	Parse Error: 	syntax error, unexpected end of file (line 140 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-11 09:05:20	remco	http://localhost:8888/bannertool/new10/	Parse Error: 	syntax error, unexpected end of file (line 140 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-11 09:05:22	remco	http://localhost:8888/bannertool/new10/	Parse Error: 	syntax error, unexpected end of file (line 140 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-new10-page.php)
2018-02-11 09:11:59	remco	http://localhost:8888/bannertool/klant-b/	Parse Error: 	syntax error, unexpected '}' (line 30 of /Applications/MAMP/htdocs/bannertool/site/templates/campaign-date-filter.inc)
